subject,grade,chapter,chapter_title,section,section_title,missing_basicnote,missing_quiz,missing_question
Agriculture,Grade 11 ,8,Basic Animal Health and Disease Control,8.5,Prevention and control of common farm animal diseases,False,False,True
Agriculture,Grade 11 ,9,Dairy Cattle Production and Management,9.2,Dairy cattle breeds and thier selection,False,False,True
Agriculture,Grade 11 ,9,Dairy Cattle Production and Management,9.3,Feeding management of dairy cattle,False,False,True
Agriculture,Grade 11 ,9,Dairy Cattle Production and Management,9.4,Milk production and processing,False,False,True
Agriculture,Grade 11 ,9,Dairy Cattle Production and Management,9.5,Dairy cattle housing management,False,False,True
Agriculture,Grade 11 ,9,Dairy Cattle Production and Management,9.6,Major diseases of dairy cattle and their control methods,False,False,True
Agriculture,Grade 11 ,9,Dairy Cattle Production and Management,9.7,Profitability in dairy business,False,False,True
Agriculture,Grade 11 ,10,Introduction to Natural Resources,10.1,Definition and importance of natural resources,False,False,True
Agriculture,Grade 11 ,10,Introduction to Natural Resources,10.2,Major types of natural resources,False,False,True
Agriculture,Grade 11 ,10,Introduction to Natural Resources,10.3,Degradation of natural resources,False,False,True
Agriculture,Grade 11 ,11,Management of Natural Resources,11.1,Concepts of natural resource use,False,False,True
Agriculture,Grade 11 ,11,Management of Natural Resources,11.2,Soil management,False,False,True
Agriculture,Grade 11 ,11,Management of Natural Resources,11.3,Agricultural water management,False,False,True
Agriculture,Grade 11 ,11,Management of Natural Resources,11.4,Forest and wildlife management,False,False,True
Agriculture,Grade 11 ,11,Management of Natural Resources,11.5,Environmental management,False,False,True
Agriculture,Grade 11 ,11,Management of Natural Resources,11.6,Types of indigenous knowledge's applicable in natural resources management practices,False,False,True
Agriculture,Grade 11 ,12,Concepts of Biodiversity,12.1,What is biodiversity?,False,False,True
Agriculture,Grade 11 ,12,Concepts of Biodiversity,12.2,The scope of biodiversity,False,False,True
Agriculture,Grade 11 ,12,Concepts of Biodiversity,12.3,Values and services of biodiversity,False,False,True
Agriculture,Grade 11 ,12,Concepts of Biodiversity,12.5,Biodiversity conservation and its status in Ethiopia,False,False,True
Agriculture,Grade 11 ,15,Introduction to Human Nutrition,15.6,Malnutrition and its causes in Ethiopia,False,False,True
