subject,grade,chapter,chapter_title,section,section_title
Agriculture,Grade 12,1,Vegetable Crops Production and Management,1.1,"Importance, problems and prospects of vegetable crop production in Ethiopia"
Agriculture,Grade 12,1,Vegetable Crops Production and Management,1.2,Environmental factors influencing vegetable production
Agriculture,Grade 12,1,Vegetable Crops Production and Management,1.4,Types of vegetable crop production System
Agriculture,Grade 12,1,Vegetable Crops Production and Management,1.5,Principles of vegetable crops management
Agriculture,Grade 12,2,Fruit Crops Production and Management,2.1,Definition of some common terms
Agriculture,Grade 12,2,Fruit Crops Production and Management,2.2,"Importance, problems and prospect of fruit crops production in Ethiopia"
Agriculture,Grade 12,2,Fruit Crops Production and Management,2.4,Principles and techniques of fruit propagation
Agriculture,Grade 12,2,Fruit Crops Production and Management,2.5,Establishing a nursery
Agriculture,Grade 12,2,Fruit Crops Production and Management,2.6,Management of Orchards
Agriculture,Grade 12,2,Fruit Crops Production and Management,2.7,Factors influencing the quality of fruit crops during harvest and post-harvest
Agriculture,Grade 12,3,Root and Tuber Crops Production and Management,3.1,Definition of terms
Agriculture,Grade 12,3,Root and Tuber Crops Production and Management,3.2,Classification of root and tuber crops
Agriculture,Grade 12,3,Root and Tuber Crops Production and Management,3.3,Importance of root and tuber crops
Agriculture,Grade 12,3,Root and Tuber Crops Production and Management,3.4,Prospects of root and tuber crops production in Ethiopia
Agriculture,Grade 12,3,Root and Tuber Crops Production and Management,3.5,Problems of root and tuber crops production in Ethiopia
Agriculture,Grade 12,3,Root and Tuber Crops Production and Management,3.6,Root and tuber crops managements and protection
Agriculture,Grade 12,3,Root and Tuber Crops Production and Management,3.7,Harvesting and post-harvest handling of root and tuber crops
Agriculture,Grade 12,4,"Coffee, Tea And Spices Production and Management",4.1,"History, origin, production status and economic importance of coffee, tea and spices"
Agriculture,Grade 12,4,"Coffee, Tea And Spices Production and Management",4.2,"Ecological and soil requirements for coffee, tea and spices production"
Agriculture,Grade 12,4,"Coffee, Tea And Spices Production and Management",4.3,"Propagation, nursery establishment and management of coffee, tea and spices"
Agriculture,Grade 12,4,"Coffee, Tea And Spices Production and Management",4.4,"Field establishment and management practices of coffee, tea and spices"
Agriculture,Grade 12,4,"Coffee, Tea And Spices Production and Management",4.5,Harvesting and processing coffee and tea
Agriculture,Grade 12,5,Introduction to Plant Biotechnology,5.1,Introduction to tissue culture
Agriculture,Grade 12,5,Introduction to Plant Biotechnology,5.2,Types of crops produced by tissue
Agriculture,Grade 12,5,Introduction to Plant Biotechnology,5.3,Benefits of tissue culture
Agriculture,Grade 12,5,Introduction to Plant Biotechnology,5.5,Application of genetic engineering in crop production
Agriculture,Grade 12,6,Beef Cattle Production and Management,6.1,Beef cattle breeds and methods of selection
Agriculture,Grade 12,6,Beef Cattle Production and Management,6.2,Beef cattle feeds and feeding methods
Agriculture,Grade 12,6,Beef Cattle Production and Management,6.3,Beef cattle housing
Agriculture,Grade 12,6,Beef Cattle Production and Management,6.4,Major disease of beef cattle and control methods
Agriculture,Grade 12,6,Beef Cattle Production and Management,6.5,Meat production and processing
Agriculture,Grade 12,7,Sheep and Goat Production and Management,7.1,Sheep and goat breeds and selection
Agriculture,Grade 12,7,Sheep and Goat Production and Management,7.2,Sheep and goat feeds and feeding
Agriculture,Grade 12,7,Sheep and Goat Production and Management,7.3,Sheep and goat housing
Agriculture,Grade 12,7,Sheep and Goat Production and Management,7.4,Major diseases of sheep and goat and methods of controlling
Agriculture,Grade 12,7,Sheep and Goat Production and Management,7.5,Sheep and goat meat and milk production and processing
Agriculture,Grade 12,8,Camel Production and Management,8.1,Camel breeds and selections
Agriculture,Grade 12,8,Camel Production and Management,8.2,Camel feeds and feeding
Agriculture,Grade 12,8,Camel Production and Management,8.3,Camel housing
Agriculture,Grade 12,8,Camel Production and Management,8.4,Major disease of camel and methods of their control
Agriculture,Grade 12,8,Camel Production and Management,8.5,Camel meat and milk production and processing
Agriculture,Grade 12,9,Poultry Production and Management,9.1,"Poultry breeds, classification and selection"
Agriculture,Grade 12,9,Poultry Production and Management,9.2,Poultry feeds and feeding
Agriculture,Grade 12,9,Poultry Production and Management,9.3,Poultry housing
Agriculture,Grade 12,9,Poultry Production and Management,9.4,Poultry incubation and hatchery management
Agriculture,Grade 12,9,Poultry Production and Management,9.5,Poultry brooding and rearing
Agriculture,Grade 12,9,Poultry Production and Management,9.6,Layers and broilers management
Agriculture,Grade 12,9,Poultry Production and Management,9.7,Major diseases of poultry and controlling methods
Agriculture,Grade 12,10,Fishery Production and Management,10.1,Basic terms in aquaculture and farmed fish species in Ethiopia
Agriculture,Grade 12,10,Fishery Production and Management,10.2,Basic anatomy of bony fishers
Agriculture,Grade 12,10,Fishery Production and Management,10.3,Fish feeds and feeding practices
Agriculture,Grade 12,10,Fishery Production and Management,10.4,Fish culture techniques
Agriculture,Grade 12,10,Fishery Production and Management,10.5,Fish rearing
Agriculture,Grade 12,10,Fishery Production and Management,10.6,Fishing methods
Agriculture,Grade 12,10,Fishery Production and Management,10.7,Handling fish and fish products
Agriculture,Grade 12,10,Fishery Production and Management,10.8,Diseases in aquaculture
Agriculture,Grade 12,10,Fishery Production and Management,10.9,Indigenous knowledge in fish processing
Agriculture,Grade 12,11,Apiculture,11.1,Introduction to honey bee management
Agriculture,Grade 12,11,Apiculture,11.2,Bee biology and behavior
Agriculture,Grade 12,11,Apiculture,11.3,Types of honey bee colony
Agriculture,Grade 12,11,Apiculture,11.4,Management of honey bees
Agriculture,Grade 12,11,Apiculture,11.5,Colony management and queen rearing
Agriculture,Grade 12,11,Apiculture,11.6,Hive products and processing
Agriculture,Grade 12,11,Apiculture,11.7,"Bee diseases, pests and predators"
Agriculture,Grade 12,11,Apiculture,11.8,Indigenous knowledge in apiculture
Agriculture,Grade 12,12,Nursery and Plantation Technology,12.1,Nursery establishment and management
Agriculture,Grade 12,12,Nursery and Plantation Technology,12.3,Producing plants from seeds
Agriculture,Grade 12,12,Nursery and Plantation Technology,12.4,Plantation establishment and management
Agriculture,Grade 12,13,Basics of Agro-Forestry Systems and Practices,13.1,"Definition of agro-forestry, systems, and practices"
Agriculture,Grade 12,13,Basics of Agro-Forestry Systems and Practices,13.2,Significance of agro-forestry
Agriculture,Grade 12,13,Basics of Agro-Forestry Systems and Practices,13.3,Classification of agro-forestry systems
Agriculture,Grade 12,13,Basics of Agro-Forestry Systems and Practices,13.4,"Agro-forestry species, establishment and management"
Agriculture,Grade 12,14,Soil and Water Conservation,14.1,Soil properties
Agriculture,Grade 12,14,Soil and Water Conservation,14.2,Soil erosion
Agriculture,Grade 12,14,Soil and Water Conservation,14.3,Major causes of soil erosion
Agriculture,Grade 12,14,Soil and Water Conservation,14.5,Types of soil and water conservation practices
Agriculture,Grade 12,14,Soil and Water Conservation,14.6,Need of soil and water conservation
Agriculture,Grade 12,14,Soil and Water Conservation,14.7,Indigenous Knowledge in Soil and water conservation
Agriculture,Grade 12,15,Gender and Human Nutrition,15.1,Basic gender-related terminologies
Agriculture,Grade 12,15,Gender and Human Nutrition,15.2,Gender role in food production and consumption
Agriculture,Grade 12,15,Gender and Human Nutrition,15.3,Empowering women in food production and consumption
Agriculture,Grade 12,16,Safe Food Production and Postharvest Handling,16.1,Food safety hazards and health risks
Agriculture,Grade 12,16,Safe Food Production and Postharvest Handling,16.2,Source of food contaminants
Agriculture,Grade 12,16,Safe Food Production and Postharvest Handling,16.3,Food safety and nutrition linkage
Agriculture,Grade 12,16,Safe Food Production and Postharvest Handling,16.4,Indigenous knowledge in safe food production
Agriculture,Grade 12,17,Application of Information and Communication Technologies (ICT) in Agriculture,17.1,Roles of ICT in agriculture
Agriculture,Grade 12,17,Application of Information and Communication Technologies (ICT) in Agriculture,17.2,Major application of ICT in agriculture
Agriculture,Grade 12,17,Application of Information and Communication Technologies (ICT) in Agriculture,17.3,Drawbacks and solutions of ICT in agriculture
Biology,Grade 10 ,2,Plants,2.10,Medicinal plants
Biology,Grade 10 ,2,Plants,2.3.1,The internal structure of a leaf
Biology,Grade 10 ,2,Plants,2.3.2,The internal structure of a stem
Biology,Grade 10 ,2,Plants,2.3.3,The internal structure of a root
Biology,Grade 10 ,2,Plants,2.4.2,Reproductive structure and life cycle of flowering plants
Biology,Grade 10 ,2,Plants,2.4.3,Pollination
Biology,Grade 10 ,2,Plants,2.6.1,Seed dispersal
Biology,Grade 10 ,2,Plants,2.6.2,Germination of seed
Biology,Grade 10 ,2,Plants,2.7.1,The photosynthetic apparatus
Biology,Grade 10 ,2,Plants,2.7.2,The light absorbing system in chloroplast
Biology,Grade 10 ,2,Plants,2.7.3,Mechanism of photosynthesis
Biology,Grade 10 ,2,Plants,2.7.4,Testing a leaf for starch
Biology,Grade 10 ,2,Plants,2.8.1,Transporting systems in plants
Biology,Grade 10 ,2,Plants,2.8.2,Mechanism of transport in plant
Biology,Grade 10 ,3,Biochemical Molecules,3.1.1,Inorganic molecule: Water
Biology,Grade 10 ,3,Biochemical Molecules,3.1.2,Inorganic ions
Biology,Grade 10 ,3,Biochemical Molecules,3.1.3,Organic molecules
Biology,Grade 10 ,4,Cell Reproduction,4.2.1,Mitosis
Biology,Grade 10 ,4,Cell Reproduction,4.2.2,Meiosis
Biology,Grade 10 ,5,Human Biology,5.2.1,Blood Donation
Biology,Grade 10 ,5,Human Biology,5.2.2,Diseases of the circulatory and lymphatic systems
Biology,Grade 10 ,6,Ecological Interaction,6.1.1,Food chain and food web
Biology,Grade 10 ,6,Ecological Interaction,6.1.2,Flow of energy and matter through ecosystem
Biology,Grade 10 ,6,Ecological Interaction,6.2,Cycling of Materials in an Ecosystem
Biology,Grade 10 ,6,Ecological Interaction,6.2.2,Carbon cycle
Biology,Grade 10 ,6,Ecological Interaction,6.2.3,Nitrogen cycle
Biology,Grade 10 ,6,Ecological Interaction,6.2.4,Phosphorus cycle
Biology,Grade 11 ,1,Biology and technology,1.2.1,The benefits of biology to technology
Biology,Grade 11 ,1,Biology and technology,1.2.2,Uses of technology in biology
Biology,Grade 11 ,1,Biology and technology,1.4.1,Ethical treatment of plants and animals during biological studies
Biology,Grade 11 ,2,Animals,2.3.1,Asexual reproduction in animals
Biology,Grade 11 ,2,Animals,2.3.2,Sexual reproduction in animals
Biology,Grade 11 ,2,Animals,2.3.3,Reproduction in insects (complete and incomplete metamorphosis)
Biology,Grade 11 ,2,Animals,2.3.4,Reproduction in Frog
Biology,Grade 11 ,2,Animals,2.3.5,Reproduction in Crocodiles
Biology,Grade 11 ,2,Animals,2.3.6,Reproduction in Birds
Biology,Grade 11 ,2,Animals,2.3.7,Reproduction in rat
Biology,Grade 11 ,2,Animals,2.4.1,Beneficial aspects of insects
Biology,Grade 11 ,2,Animals,2.4.2,Harmful aspects of insects
Biology,Grade 11 ,2,Animals,2.5.1,Types of Animal Behavior
Biology,Grade 11 ,2,Animals,2.5.2,Patterns of Behavior
Biology,Grade 11 ,2,Animals,2.6.1,Thermoregulation
Biology,Grade 11 ,2,Animals,2.6.2,Osmoregulation
Biology,Grade 11 ,2,Animals,2.6.3,Blood Sugar Regulation
Biology,Grade 11 ,2,Animals,2.6.4,Control of homeostasis
Biology,Grade 11 ,2,Animals,2.7,Renowned zoologists in Ethiopia
Biology,Grade 11 ,3,Enzymes,3.10,Malting in Ethiopian tradition
Biology,Grade 11 ,3,Enzymes,3.10.1,Steps of modern malting
Biology,Grade 11 ,3,Enzymes,3.10.3,Traditional malting for local alcohol production
Biology,Grade 11 ,3,Enzymes,3.11,Renowned Biochemists in Ethiopia
Biology,Grade 11 ,3,Enzymes,3.2.1,General properties of an enzyme
Biology,Grade 11 ,3,Enzymes,3.2.2,The function of enzymes
Biology,Grade 11 ,3,Enzymes,3.4.1,Enzyme-substrate binding models
Biology,Grade 11 ,3,Enzymes,3.4.2,Enzymatic transition state
Biology,Grade 11 ,3,Enzymes,3.7.1,Description on factors affecting enzymatic actions
Biology,Grade 11 ,4,Genetics,4.10,Genetic testing and counseling
Biology,Grade 11 ,4,Genetics,4.12.1,Indigenous knowledge of Ethiopian farmers
Biology,Grade 11 ,4,Genetics,4.2.1,The Structure and function of DNA
