subject,grade,chapter,chapter_title,section,section_title
Agriculture,Grade 12,9,Poultry Production and Management,9.7,Major diseases of poultry and controlling methods
Biology,Grade 10 ,2,Plants,2.10,Medicinal plants
Biology,Grade 10 ,2,Plants,2.4.2,Reproductive structure and life cycle of flowering plants
Biology,Grade 10 ,2,Plants,2.6,Seed Dispersal and Germination
Biology,Grade 10 ,2,Plants,2.6.1,Seed dispersal
Biology,Grade 10 ,2,Plants,2.7.1,The photosynthetic apparatus
Biology,Grade 10 ,2,Plants,2.7.2,The light absorbing system in chloroplast
Biology,Grade 10 ,2,Plants,2.7.3,Mechanism of photosynthesis
Biology,Grade 10 ,2,Plants,2.7.4,Testing a leaf for starch
Biology,Grade 10 ,2,Plants,2.8.1,Transporting systems in plants
Biology,Grade 10 ,2,Plants,2.8.2,Mechanism of transport in plant
Biology,Grade 10 ,6,Ecological Interaction,6.2,Cycling of Materials in an Ecosystem
Biology,Grade 11 ,1,Biology and technology,1.4.1,Ethical treatment of plants and animals during biological studies
Biology,Grade 11 ,2,Animals,2.2,Invertebrates and Vertebrates
Biology,Grade 11 ,2,Animals,2.3,Reproduction in Animals
Biology,Grade 11 ,2,Animals,2.4,The economic importance of animals (insects)
Biology,Grade 11 ,2,Animals,2.6,Homeostasis in animals
Biology,Grade 11 ,2,Animals,2.7,Renowned zoologists in Ethiopia
Biology,Grade 11 ,3,Enzymes,3.10.1,Steps of modern malting
Biology,Grade 11 ,3,Enzymes,3.10.3,Traditional malting for local alcohol production
Biology,Grade 11 ,3,Enzymes,3.11,Renowned Biochemists in Ethiopia
Biology,Grade 11 ,3,Enzymes,3.4.2,Enzymatic transition state
Biology,Grade 11 ,3,Enzymes,3.6,Types of enzymes
Biology,Grade 11 ,3,Enzymes,3.7.1,Description on factors affecting enzymatic actions
Biology,Grade 11 ,4,Genetics,4.12.1,Indigenous knowledge of Ethiopian farmers
Biology,Grade 11 ,4,Genetics,4.5.1,Mendellan crosses
Biology,Grade 11 ,5,The human body systems,5.2.2.1,Positive and negative feedbacks to control the menstrual cycle
Biology,Grade 11 ,5,The human body systems,5.2.3,Fertilization and pregnancy
Biology,Grade 11 ,5,The human body systems,5.3.1,Harmful traditional practices
Biology,Grade 11 ,5,The human body systems,5.4.1,Risks related to the lack of family planning
Biology,Grade 11 ,5,The human body systems,5.4.2,Family planning actions
Biology,Grade 11 ,5,The human body systems,5.4.3,Family planning services
Biology,Grade 11 ,5,The human body systems,5.5.1,The effects of alcohol uses
Biology,Grade 11 ,5,The human body systems,5.5.2,Effects of chewing Khat
Biology,Grade 11 ,5,The human body systems,5.5.3,Effects of drug uses
Biology,Grade 11 ,6,Population and natural resources,6.5.2,Climate change
Biology,Grade 11 ,6,Population and natural resources,6.5.3,Global warming
Biology,Grade 11 ,6,Population and natural resources,6.5.4,Ozone layer depletion
Biology,Grade 11 ,6,Population and natural resources,6.5.5,Acid rain
Biology,Grade 11 ,6,Population and natural resources,6.5.6,Loss of Biodiversity
Biology,Grade 11 ,6,Population and natural resources,6.5.7,Toxic bioaccumulation
Biology,Grade 11 ,6,Population and natural resources,6.5.8,Resource depletion
Biology,Grade 12,2,Microorganisms ,2.1.2,Bacterial Shapes
Biology,Grade 12,2,Microorganisms ,2.1.4,Reproduction of bacteria
Biology,Grade 12,2,Microorganisms ,2.11,Renowned Microbiologists in Ethiopia 
Biology,Grade 12,2,Microorganisms ,2.2.2,Physical factors that affecting microbial growths
Biology,Grade 12,2,Microorganisms ,2.3.1,General Characteristics of True Fungi
Biology,Grade 12,2,Microorganisms ,2.3.2,Ecology of Fungi
Biology,Grade 12,2,Microorganisms ,2.3.3,Classification of Fungi
Biology,Grade 12,2,Microorganisms ,2.3.4,Reproduction in fungi
Biology,Grade 12,2,Microorganisms ,2.5.1,Characteristics of virus
Biology,Grade 12,2,Microorganisms ,2.5.2,Viral symmetry
Biology,Grade 12,3,Energy Transformation ,3.2.1,Photosynthetic pigments
Biology,Grade 12,3,Energy Transformation ,3.2.5,Light-Independent Reactions (Calvin cycle)
Biology,Grade 12,3,Energy Transformation ,3.4.3,The site of cellular respiration
Biology,Grade 12,4,Evolution ,4.1,Evolution 
Biology,Grade 12,4,Evolution ,4.2,Renowned Anthropologists in Ethiopia 
Biology,Grade 12,4,Evolution ,4.3,Renowned Evolutionists in Ethiopia 
Biology,Grade 12,5,Human Body System ,5.1.1,Neurons and their functions
Biology,Grade 12,5,Human Body System ,5.1.2,The Nerve Impulse and transmission
Biology,Grade 12,5,Human Body System ,5.1.3,Neurotransmitters
Biology,Grade 12,5,Human Body System ,5.1.4,Types of the nervous system
Biology,Grade 12,5,Human Body System ,5.1.6,Reflex action
Biology,Grade 12,5,Human Body System ,5.1.7,Drug abuse
Biology,Grade 12,5,Human Body System ,5.2.1,Skin
Biology,Grade 12,5,Human Body System ,5.2.2,The Tongue
Biology,Grade 12,5,Human Body System ,5.2.3,The Nose
Biology,Grade 12,5,Human Body System ,5.2.4,The Eye
Biology,Grade 12,5,Human Body System ,5.2.5,The Ear
Biology,Grade 12,5,Human Body System ,5.2.6,The endocrine system
Biology,Grade 12,5,Human Body System ,5.3.1,The structure and function of the human kidney
Biology,Grade 12,6,Climate Change ,6.1.1,Definition of Climate Change
Biology,Grade 12,6,Climate Change ,6.1.2,Causes of climate change
Biology,Grade 12,6,Climate Change ,6.2.1,Effects of climate change on biodiversity
Biology,Grade 12,6,Climate Change ,6.2.2,Effects of climate change on Agriculture
Biology,Grade 12,6,Climate Change ,6.2.3,Effect of climate change on forest productivity
Biology,Grade 12,6,Climate Change ,6.2.4,Climate change and natural disasters
Biology,Grade 12,6,Climate Change ,6.3.1,The United Nations Framework Convention
Biology,Grade 12,6,Climate Change ,6.3.2,Kyoto Protocol on Climate Change
Biology,Grade 12,6,Climate Change ,6.3.3,International and national practices of Implementation of conventions
Biology,Grade 9 ,1,Introduction to Biology,1.4,Tools of a Biologist 
Biology,Grade 9 ,1,Introduction to Biology,1.5,The Light Microscope 
Biology,Grade 9 ,2,Characteristics and Classification of Organisms,2.2,Taxonomy of living things
Biology,Grade 9 ,3,Cells,3.7,The cell and its environment
Biology,Grade 9 ,4,Reproduction,4. 6,Male reproductive structures 
Biology,Grade 9 ,4,Reproduction,4.3,Types of asexual reproduction
Biology,Grade 9 ,5,"Human Health, Nutrition, and Disease",5.8,Infectious and noninfectious diseases 
Biology,Grade 9 ,5,"Human Health, Nutrition, and Disease",5.8. 1,Infectious diseases 
Biology,Grade 9 ,5,"Human Health, Nutrition, and Disease",5.8. 2,Non-infectious diseases 
Biology,Grade 9 ,5,"Human Health, Nutrition, and Disease",5.9,Renowned Nutritionists in Ethiopia
Biology,Grade 9 ,6,Ecology,6.1,Ecology
Chemistry,Grade 10 ,1,Chemical Reactions and Stoichiometry,1.5,"Molecular and Formula Masses, the Mole Concept and Chemical Formulas"
Chemistry,Grade 10 ,1,Chemical Reactions and Stoichiometry,1.6,Stoichiometry
Chemistry,Grade 10 ,2,Solutions,2.2,The Solution Process
Chemistry,Grade 10 ,2,Solutions,2.4,Ways of Expressing Concentration of Solution
Chemistry,Grade 10 ,4,Energy Changes and Electrochemistry,4.1,Introduction
Chemistry,Grade 10 ,4,Energy Changes and Electrochemistry,4.2,Energy Changes in Electrochemistry
Chemistry,Grade 10 ,4,Energy Changes and Electrochemistry,4.3,Electrochemical Cells
Chemistry,Grade 10 ,5,Metals and Nonmetals,5.2,General Properties of Metals and Production of Some Metals
Chemistry,Grade 10 ,5,Metals and Nonmetals,5.3,Production of Some Important Nonmetals
Chemistry,Grade 10 ,6,Hydrocarbons and their Natural Sources,6.1,Introduction
