subject,grade,chapter,chapter_title,section,section_title
Agriculture,Grade 11 ,8,Basic Animal Health and Disease Control,8.5,Prevention and control of common farm animal diseases
Agriculture,Grade 11 ,9,Dairy Cattle Production and Management,9.2,Dairy cattle breeds and thier selection
Agriculture,Grade 11 ,9,Dairy Cattle Production and Management,9.3,Feeding management of dairy cattle
Agriculture,Grade 11 ,9,Dairy Cattle Production and Management,9.4,Milk production and processing
Agriculture,Grade 11 ,9,Dairy Cattle Production and Management,9.5,Dairy cattle housing management
Agriculture,Grade 11 ,9,Dairy Cattle Production and Management,9.6,Major diseases of dairy cattle and their control methods
Agriculture,Grade 11 ,9,Dairy Cattle Production and Management,9.7,Profitability in dairy business
Agriculture,Grade 11 ,10,Introduction to Natural Resources,10.1,Definition and importance of natural resources
Agriculture,Grade 11 ,10,Introduction to Natural Resources,10.2,Major types of natural resources
Agriculture,Grade 11 ,10,Introduction to Natural Resources,10.3,Degradation of natural resources
Agriculture,Grade 11 ,11,Management of Natural Resources,11.1,Concepts of natural resource use
Agriculture,Grade 11 ,11,Management of Natural Resources,11.2,Soil management
Agriculture,Grade 11 ,11,Management of Natural Resources,11.3,Agricultural water management
Agriculture,Grade 11 ,11,Management of Natural Resources,11.4,Forest and wildlife management
Agriculture,Grade 11 ,11,Management of Natural Resources,11.5,Environmental management
Agriculture,Grade 11 ,11,Management of Natural Resources,11.6,Types of indigenous knowledge's applicable in natural resources management practices
Agriculture,Grade 11 ,12,Concepts of Biodiversity,12.1,What is biodiversity?
Agriculture,Grade 11 ,12,Concepts of Biodiversity,12.2,The scope of biodiversity
Agriculture,Grade 11 ,12,Concepts of Biodiversity,12.3,Values and services of biodiversity
Agriculture,Grade 11 ,12,Concepts of Biodiversity,12.5,Biodiversity conservation and its status in Ethiopia
Agriculture,Grade 11 ,15,Introduction to Human Nutrition,15.6,Malnutrition and its causes in Ethiopia
Agriculture,Grade 12,5,Introduction to Plant Biotechnology,5.5,Application of genetic engineering in crop production
Agriculture,Grade 12,10,Fishery Production and Management,10.1,Basic terms in aquaculture and farmed fish species in Ethiopia
Agriculture,Grade 12,10,Fishery Production and Management,10.2,Basic anatomy of bony fishers
Agriculture,Grade 12,10,Fishery Production and Management,10.3,Fish feeds and feeding practices
Agriculture,Grade 12,10,Fishery Production and Management,10.4,Fish culture techniques
Agriculture,Grade 12,10,Fishery Production and Management,10.5,Fish rearing
Agriculture,Grade 12,10,Fishery Production and Management,10.6,Fishing methods
Agriculture,Grade 12,10,Fishery Production and Management,10.7,Handling fish and fish products
Agriculture,Grade 12,10,Fishery Production and Management,10.8,Diseases in aquaculture
Agriculture,Grade 12,10,Fishery Production and Management,10.9,Indigenous knowledge in fish processing
Agriculture,Grade 12,11,Apiculture,11.1,Introduction to honey bee management
Agriculture,Grade 12,11,Apiculture,11.2,Bee biology and behavior
Agriculture,Grade 12,11,Apiculture,11.3,Types of honey bee colony
Agriculture,Grade 12,11,Apiculture,11.4,Management of honey bees
Agriculture,Grade 12,11,Apiculture,11.5,Colony management and queen rearing
Agriculture,Grade 12,11,Apiculture,11.6,Hive products and processing
Agriculture,Grade 12,11,Apiculture,11.7,"Bee diseases, pests and predators"
Agriculture,Grade 12,11,Apiculture,11.8,Indigenous knowledge in apiculture
Agriculture,Grade 12,12,Nursery and Plantation Technology,12.1,Nursery establishment and management
Agriculture,Grade 12,12,Nursery and Plantation Technology,12.2,Design and layout of the nursery
Agriculture,Grade 12,12,Nursery and Plantation Technology,12.3,Producing plants from seeds
Agriculture,Grade 12,12,Nursery and Plantation Technology,12.4,Plantation establishment and management
Agriculture,Grade 12,13,Basics of Agro-Forestry Systems and Practices,13.1,"Definition of agro-forestry, systems, and practices"
Agriculture,Grade 12,13,Basics of Agro-Forestry Systems and Practices,13.2,Significance of agro-forestry
Agriculture,Grade 12,13,Basics of Agro-Forestry Systems and Practices,13.3,Classification of agro-forestry systems
Agriculture,Grade 12,13,Basics of Agro-Forestry Systems and Practices,13.4,"Agro-forestry species, establishment and management"
Agriculture,Grade 12,14,Soil and Water Conservation,14.1,Soil properties
Agriculture,Grade 12,14,Soil and Water Conservation,14.2,Soil erosion
Agriculture,Grade 12,14,Soil and Water Conservation,14.3,Major causes of soil erosion
Agriculture,Grade 12,14,Soil and Water Conservation,14.4,Negative impacts of soil erosion
Agriculture,Grade 12,14,Soil and Water Conservation,14.5,Types of soil and water conservation practices
Agriculture,Grade 12,14,Soil and Water Conservation,14.6,Need of soil and water conservation
Agriculture,Grade 12,14,Soil and Water Conservation,14.7,Indigenous Knowledge in Soil and water conservation
Agriculture,Grade 12,15,Gender and Human Nutrition,15.1,Basic gender-related terminologies
Agriculture,Grade 12,15,Gender and Human Nutrition,15.2,Gender role in food production and consumption
Agriculture,Grade 12,15,Gender and Human Nutrition,15.3,Empowering women in food production and consumption
Agriculture,Grade 12,16,Safe Food Production and Postharvest Handling,16.1,Food safety hazards and health risks
Agriculture,Grade 12,16,Safe Food Production and Postharvest Handling,16.2,Source of food contaminants
Agriculture,Grade 12,16,Safe Food Production and Postharvest Handling,16.3,Food safety and nutrition linkage
Agriculture,Grade 12,16,Safe Food Production and Postharvest Handling,16.4,Indigenous knowledge in safe food production
Agriculture,Grade 12,17,Application of Information and Communication Technologies (ICT) in Agriculture,17.1,Roles of ICT in agriculture
Agriculture,Grade 12,17,Application of Information and Communication Technologies (ICT) in Agriculture,17.2,Major application of ICT in agriculture
Agriculture,Grade 12,17,Application of Information and Communication Technologies (ICT) in Agriculture,17.3,Drawbacks and solutions of ICT in agriculture
Biology,Grade 10 ,2,Plants,2.3.1,The internal structure of a leaf
Biology,Grade 10 ,2,Plants,2.3.2,The internal structure of a stem
Biology,Grade 10 ,2,Plants,2.3.3,The internal structure of a root
Biology,Grade 10 ,2,Plants,2.4.2,Reproductive structure and life cycle of flowering plants
Biology,Grade 10 ,2,Plants,2.4.3,Pollination
Biology,Grade 10 ,2,Plants,2.6.1,Seed dispersal
Biology,Grade 10 ,2,Plants,2.6.2,Germination of seed
Biology,Grade 10 ,2,Plants,2.7.1,The photosynthetic apparatus
Biology,Grade 10 ,2,Plants,2.7.2,The light absorbing system in chloroplast
Biology,Grade 10 ,2,Plants,2.7.3,Mechanism of photosynthesis
Biology,Grade 10 ,2,Plants,2.7.4,Testing a leaf for starch
Biology,Grade 10 ,2,Plants,2.8.1,Transporting systems in plants
Biology,Grade 10 ,2,Plants,2.8.2,Mechanism of transport in plant
Biology,Grade 10 ,3,Biochemical Molecules,3.1.1,Inorganic molecule: Water
Biology,Grade 10 ,3,Biochemical Molecules,3.1.2,Inorganic ions
Biology,Grade 10 ,3,Biochemical Molecules,3.1.3,Organic molecules
Biology,Grade 10 ,4,Cell Reproduction,4.2.1,Mitosis
Biology,Grade 10 ,4,Cell Reproduction,4.2.2,Meiosis
Biology,Grade 10 ,5,Human Biology,5.2.1,Blood Donation
Biology,Grade 10 ,5,Human Biology,5.2.2,Diseases of the circulatory and lymphatic systems
Biology,Grade 10 ,6,Ecological Interaction,6.1.1,Food chain and food web
Biology,Grade 10 ,6,Ecological Interaction,6.1.2,Flow of energy and matter through ecosystem
Biology,Grade 10 ,6,Ecological Interaction,6.2.2,Carbon cycle
Biology,Grade 10 ,6,Ecological Interaction,6.2.3,Nitrogen cycle
Biology,Grade 10 ,6,Ecological Interaction,6.2.4,Phosphorus cycle
Biology,Grade 11 ,1,Biology and technology,1.2.1,The benefits of biology to technology
Biology,Grade 11 ,1,Biology and technology,1.2.2,Uses of technology in biology
Biology,Grade 11 ,1,Biology and technology,1.4.1,Ethical treatment of plants and animals during biological studies
Biology,Grade 11 ,2,Animals,2.3.1,Asexual reproduction in animals
Biology,Grade 11 ,2,Animals,2.3.2,Sexual reproduction in animals
Biology,Grade 11 ,2,Animals,2.3.3,Reproduction in insects (complete and incomplete metamorphosis)
Biology,Grade 11 ,2,Animals,2.3.4,Reproduction in Frog
Biology,Grade 11 ,2,Animals,2.3.5,Reproduction in Crocodiles
Biology,Grade 11 ,2,Animals,2.3.6,Reproduction in Birds
Biology,Grade 11 ,2,Animals,2.3.7,Reproduction in rat
Biology,Grade 11 ,2,Animals,2.4.1,Beneficial aspects of insects
Biology,Grade 11 ,2,Animals,2.4.2,Harmful aspects of insects
Biology,Grade 11 ,2,Animals,2.5.1,Types of Animal Behavior
